Field,ID,Type (Type),default,en-us,ja,zh-hans,zh-hant
Description,2,Text,,"This application is text string encode and decode tool.

1. URL encode/decode
2. BASE64, UUEncode, XXEncode, Quoted Printable encode/decode
3. Raw bytes like \x0d\x0a encode/decode
4. encode small image to base64 string or decode image from base64 string
5. text to QR code, or decode QR code from clipboard image
6. text to some 1D barcode, or decode content from clipboard image
7. rename file or folder name to specified oem charset (UTF8, GBK, BIG5, SHIFT-JIS, ASCII, UNICODE)
8. convert text file content from source charset to target charset (UTF8, GBK, BIG5, SHIFT-JIS, ASCII, UNICODE)
9. Simple SVG support, can be used to create Windows icons required series of bitmaps
10. Simple Morse-Code Encoder/Decoder.
11. English text Case conversion
12. Chinese number/currency uppercase (rule reference from Wikipedia, not too many test conversion results may not be completely accurate)
13. Simple Chinese Simplified/Traditional conversion, used library provided by the Microsoft, there is not supported cross-strait unique terms (the OPENCC.UWP library always failed when conversion).
14. The Full-Width/Half-Width conversion of Chinese numeric characters, not full featured for all symbol.
15. Japanese Digital/currency conversion to uppercase (rule reference from Wikipedia, not too many test conversion results may not be completely accurate)
16. Case conversion of Japanese katakana, Full-Width/Half-Width conversion
17. Generate GUID/UUID (Microsoft format)
18. Convert HTML text special characters
19. Encode/Decode From/To file
","これは、クリップボードからクリップボード/ペーストに結果をコピーし、テキストや生成された画像を共有することができ、テキスト文字列のエンコードとデコードのためのガジェットです。

1. URL のエンコード/デコード
2. BASE64, UUEncode, XXEncode, Quoted Printable エンコード/デコード
3. \x0d\x0a などの元のバイトなどの文字列の内容のエンコード/デコード
4. 小さいイメージを base64 文字列としてエンコードするか、base64 文字列からイメージをデコードします。
5. qr コードへのテキスト、またはクリップボードの画像から qr コードをデコード
6. いくつかの一次元バーコードにテキスト、またはクリップボードの画像からコンテンツをデコード
7. ファイルまたはフォルダの名前を指定された OEM 文字セットに変更します (現在、Utf8、gbk、big5、シフト jis、ascii、unicode、Windows-1250 ~ 1258)
8. テキストファイルの内容をソースキャラクタセットからターゲットキャラクタセットに変換します (現在サポートされている Utf8、gbk、big5、シフト jis、ascii、unicode、Windows-1250 ~ 1258)
9. シンプルな SVG のサポートは、Windows のアイコンを作成するために使用することができますビットマップの必要な一連の
10. モールス信号の簡単なコーデック。
11. 英語テキストケース変換
12. 中国の数字/通貨を大文字に変換 (ウィキペディアからのルール参照、あまりにも多くのテスト変換の結果は完全に正確ではないかもしれません)
13. 簡単な中国の簡体字変換、ライブラリによって提供されるマイクロソフトの使用は、スワップ機能のクロス海峡ユニークな用語がありません (もともと OPENCC を採用したかったです。 UWP ライブラリでは、変換が常に失敗する理由がわかりません)。
14. 中国の数字文字のフルアングルのハーフアングル変換は、ルールがより複雑であり、マッピング法が見つからないため、シンボル変換は非常に包括的ではありません
15. 日本のデジタル/通貨から大文字への変換 (ウィキペディアからのルール参照は、あまりにも多くのテスト変換の結果が完全に正確ではないかもしれません)
16. 日本語カタカナのケース変換、フルアングルのハーフアングル変換
17. GUID/UUID の生成
18. HTML テキスト特殊文字変換
19. ファイルのロードからファイルへのコーデックの結果をデコードし、保存する機能をサポート","这是一个用于文本字符串编码和解码小工具, 可以复制结果到剪贴板/从剪贴板粘贴以及共享文本或生成的图片.

1. URL编码/解码
2. BASE64, UUEncode, XXEncode. Quoted Printable 编码/解码
3. 原始字节，如\x0d\x0a这样的字符串内容的编码/解码
4. 将小图像编码为base64字符串或从BASE64 字符串解码图像
5. 文本到QR码，或从剪贴板图像解码QR二维码
6. 文本到一些一维条形码，或从剪贴板图像解码内容
7. 将文件或文件夹名称重命名为指定的 OEM 字符集（现支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE, Windows-1250~1258）
8. 将文本文件内容从源字符集转换为目标字符集（现支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE, Windows-1250~1258）
9. 简单的SVG支持, 可以用来创建Windows图标所需的系列位图
10. 莫尔斯电码的简单编解码.
11. 英文文字大小写转换
12. 中文数字/货币转为大写(规则参考自维基百科, 未经太多测试转换结果可能不完全准确)
13. 简单的中文简繁转换, 使用的是微软提供的库, 没有两岸特有名词的互换功能(原本想采用的OpenCC.UWP的库不知道为什么始终转换失败).
14. 中文数字字符的全角半角转换, 因为规则比较繁杂, 而且没有找到映射规律, 所以符号转换不是很全面
15. 日文数字/货币转换为大写(规则参考自维基百科, 未经太多测试转换结果可能不完全准确)
16. 日文片假名的大小写转换, 全角半角转换
17. GUID/UUID 生成
18. HTML文本特殊字符转换
19. 支持从文件载入内容编解码与保存编解码结果到文件的功能
20. 支持自定义简繁转换的短语","這是一個用於文本字符串編碼和解碼小工具, 可以複製結果到剪貼板/從剪貼板粘貼以及共享文本或生成的圖片.

1. URL編碼/解碼
2. BASE64, UUEncode, XXEncode. Quoted Printable 編碼/解碼
3. 原始字節，如\x0d\x0a這樣的字符串內容的編碼/解碼
4. 將小圖像編碼為base64字符串或從BASE64 字符串解碼圖像
5. 文本到QR碼，或從剪貼板圖像解碼QR二維碼
6. 文本到一些一維條形碼，或從剪貼板圖像解碼內容
7. 將檔案或檔案夾名稱重命名為指定的 OEM 字符集（現支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE, Windows-1250~1258）
8. 將文本檔案內容從源字符集轉換為目標字符集（現支持 UTF8，GBK，BIG5，SHIFT-JIS，ASCII，UNICODE, Windows-1250~1258）
9. 簡單的SVG支持, 可以用來創建Windows圖標所需的系列位圖
10. 莫爾斯電碼的簡單編解碼.
11. 英文文字大小寫轉換
12. 中文數字/貨幣轉為大寫(規則參考自維基百科, 未經太多測試轉換結果可能不完全準確)
13. 簡單的中文簡繁轉換, 使用的是微軟提供的庫, 沒有兩岸特有名詞的互換功能(原本想採用的OpenCC.UWP的庫不知道為什麼始終轉換失敗).
14. 中文數字字符的全角半角轉換, 因為規則比較繁雜, 而且沒有找到映射規律, 所以符號轉換不是很全面
15. 日文數字/貨幣轉換為大寫(規則參考自維基百科, 未經太多測試轉換結果可能不完全準確)
16. 日文片假名的大小寫轉換, 全角半角轉換
17. GUID/UUID 生成
18. HTML文本特殊字符轉換
19. 支持從檔案載入內容編解碼與保存編解碼結果到檔案的功能
20. 支持自定義簡繁轉換的短語"
Title,4,Text,,StringCodec,テキストコーデック,文本编码解码工具,文本編碼解碼工具
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,,,
ReleaseNotes,3,Text,,"2018/12/23
1. Fix crash errors when loading the system default UI language at startup, which can occur in a single-language region, such as Japan.
2. Add uuencode, Xxencode, Quoted Printable codec, 
3. Add encode/decode from/to file

2018/12/18
1. Added code pages for some European countries intuitive selection support
2. Some issues that caused the crash may have been fixed
3. Simple Morse-Code Encoder/Decoder.
4. English text Case conversion
5. Chinese number/currency uppercase (rule reference from Wikipedia, not too many test conversion results may not be completely accurate)
6. Simple Chinese Simplified/Traditional conversion, used library provided by the Microsoft, there is not supported cross-strait unique terms (the OPENCC.UWP library always failed when conversion).
7. The Full-Width/Half-Width conversion of Chinese numeric characters, not full featured for all symbol.
8. Japanese Digital/currency conversion to uppercase (rule reference from Wikipedia, not too many test conversion results may not be completely accurate)
9. Case conversion of Japanese katakana, Full-Width/Half-Width conversion
10. Generate GUID/UUID (Microsoft format)
11. Convert HTML text special characters
11. Add HTML text special character conversion","2018/12/23
1. 日本のような単一言語の地域で発生する可能性がある起動時にシステムの既定の UI 言語を読み込むときにクラッシュエラーを修正します。
2. uuencode、Xxencode、引用印刷可能なコーデックのサポートを増やし、
3. ファイルの読み込み内容からファイルへのコーデック結果のデコードおよび保存機能を向上

2018/12/18
1. いくつかのヨーロッパ諸国のためのコードページを追加しました直観的な選択サポート
2. クラッシュの原因となった問題が修正された可能性がある
3. モールス符号の単純なコーデックを増やします。
4. 英語のテキストケース変換を追加します。
5. 中国語の数字/通貨を大文字にします (ウィキペディアからのルール参照は、あまりにも多くのテスト変換結果が完全に正確でない可能性があります)
6. 簡単な中国語簡体字変換を追加します。マイクロソフトが提供するライブラリを使用して、クロス海峡ユニークな名詞スワップ機能はありません (もともと OPENCC を採用したかったです。 UWP ライブラリでは、変換が常に失敗する理由がわかりません)。
7. ルールは複雑であり、マッピング法が見つからないため、中国語の数字のフルアングルのハーフアングル変換を増やし、シンボルの変換は非常に包括的ではありません
8. 日本語の数値/通貨変換を大文字にします (ウィキペディアからのルール参照は、あまりにも多くのテスト変換結果が完全に正確でない可能性があります)
9. 日本語カタカナの大文字変換、フルアングルハーフアングル変換の増加
10. Guid/uuid の生成を増やします。
11. HTML テキストの追加特殊文字変換

2018/10/30
1. いくつかのエラーを修正する
2. デコード/エンコーディングをサポートするテキスト/ファイル・コード・ページの追加
3. Windows アイコンに必要な一連のビットマップを作成するために使用できる単純な SVG サポートを追加します。
4. ディレクトリを展開するときなど、ファイル/フォルダのツリービューの動作を変更して、パフォーマンスを向上させるためにインクルードされたファイル/サブディレクトリのリストを取得します。 これで、アイテムを右クリックして名前の変更/変換を直接行うことができます。
5. 一部の UI レイアウトを最適化する","2019/02/28
1. 改用新同文堂的词汇转换表, 并支持自定义简繁转换的短语
2. 修复一些小BUG. 如SVG文件载入时修正文件头, 数字转换中文大写错误

2018/12/23
1. 修复启动时载入系统默认UI语言时的崩溃错误, 会出现在单一语种的地区, 例如日本.
2. 增加对UUEncode, XXEncode, Quoted Printable 编解码的支持,
3. 增加从文件载入内容编解码与保存编解码结果到文件的功能

2018/12/18
1. 增加了一些欧洲国家的代码页直观选择支持
2. 可能修复了一些引发崩溃的问题
3. 增加莫尔斯电码的简单编解码.
4. 增加英文文字大小写转换
5. 增加中文数字/货币转为大写(规则参考自维基百科, 未经太多测试转换结果可能不完全准确)
6. 增加简单的中文简繁转换, 使用的是微软提供的库, 没有两岸特有名词的互换功能(原本想采用的OpenCC.UWP的库不知道为什么始终转换失败).
7. 增加中文数字字符的全角半角转换, 因为规则比较繁杂, 而且没有找到映射规律, 所以符号转换不是很全面
8. 增加日文数字/货币转换为大写(规则参考自维基百科, 未经太多测试转换结果可能不完全准确)
9. 增加日文片假名的大小写转换, 全角半角转换
10. 增加GUID/UUID 生成
11. 增加HTML文本特殊字符转换

2018/10/30
1. 修复若干错误
2. 支持解码/编码更多的文本/文件代码页
3. 添加简单的SVG支持, 可以用来创建Windows图标所需的系列位图
4. 改变文件/文件夹的树视图的行为, 如展开目录时才获取包含的文件/子目录列表, 以提升性能. 现在直接鼠标右击项目就可以重命名/转换,不需要先选中才可以
5. 优化一些UI布局
","2019/02/28
1. 改用新同文堂的詞彙轉換表, 並支持自定義簡繁轉換的短語
2. 修復一些小BUG. 如SVG檔案載入時修正檔案頭, 數字轉換中文大寫錯誤

2018/12/23
1. 修復啟動時載入系統默認UI語言時的崩潰錯誤, 會出現在單一語種的地區, 例如日本.
2. 增加對UUEncode, XXEncode, Quoted Printable 編解碼的支持,
3. 增加從檔案載入內容編解碼與保存編解碼結果到檔案的功能

2018/12/18
1. 增加了一些歐洲國家的代碼頁直觀選擇支持
2. 可能修復了一些引發崩潰的問題
3. 增加莫爾斯電碼的簡單編解碼.
4. 增加英文文字大小寫轉換
5. 增加中文數字/貨幣轉為大寫(規則參考自維基百科, 未經太多測試轉換結果可能不完全準確)
6. 增加簡單的中文簡繁轉換, 使用的是微軟提供的庫, 沒有兩岸特有名詞的互換功能(原本想採用的OpenCC.UWP的庫不知道為什麼始終轉換失敗).
7. 增加中文數字字符的全角半角轉換, 因為規則比較繁雜, 而且沒有找到映射規律, 所以符號轉換不是很全面
8. 增加日文數字/貨幣轉換為大寫(規則參考自維基百科, 未經太多測試轉換結果可能不完全準確)
9. 增加日文片假名的大小寫轉換, 全角半角轉換
10. 增加GUID/UUID 生成
11. 增加HTML文本特殊字符轉換

2018/10/30
1. 修復若干錯誤
2. 支持解碼/編碼更多的文本/檔案代碼頁
3. 添加簡單的SVG支持, 可以用來創建Windows圖標所需的系列位圖
4. 改變檔案/檔案夾的樹視圖的行為, 如展開目錄時才獲取包含的檔案/子目錄列表, 以提升性能. 現在直接鼠標右擊項目就可以重命名/轉換,不需要先選中才可以
5. 優化一些UI佈局
"
ShortTitle,5,Text,,,,,
SortTitle,6,Text,,,,,
VoiceTitle,7,Text,,,,,
ShortDescription,8,Text,,,,,
DevStudio,9,Text,,netcharm,netcharm,netcharm,netcharm
CopyrightTrademarkInformation,12,Text,,netcharm,netcharm,netcharm,netcharm
